Cylinders,Engine Size(L),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
4,1.6,7.8,9,31,207
4,1.6,7.5,8.5,33,196
4,1.6,7,8.3,34,191
4,1.6,6.7,8,35,184
4,1.6,7.8,9,31,207
4,1.6,7.5,8.5,33,196
4,1.6,7,8.3,34,191
4,1.6,6.7,8,35,184
4,2,7,8.2,34,189
4,2,6.8,8.3,34,191
4,2.4,8.2,9.5,30,218
4,2,10.5,12.5,23,288
4,2,10.3,12.3,23,283
4,2,9.4,11.6,24,267
4,2,7.3,8.6,33,198
4,2,7.1,8.6,33,198
3,1.2,5.4,6,47,138
3,1.2,5.6,6.4,44,147
4,2.4,7.5,8.6,33,198
4,2.4,8.1,9.1,31,209
6,3,8.5,10.2,28,235
4,2,7.6,8.7,32,200
4,2,7.5,8.8,32,202
4,2,8,9,31,207
6,3.7,9.1,11,26,253
6,3.7,9.3,11.5,25,264
6,3.7,9.5,11.4,25,262
6,3.7,9.6,11.7,24,269
4,2.5,6.2,7.6,37,175
6,3.5,7.4,9.3,30,214
8,5.6,13.4,16.5,17,380
4,2.5,10.6,12.3,23,283
4,2.5,10.2,11.3,25,260
6,4,10.2,12.7,22,292
6,4,11.2,13.7,21,315
6,4,11,13.1,22,301
6,3.8,10.9,12.9,22,297
4,1.6,7.3,8.1,35,186
4,1.6,7.6,8.6,33,198
4,1.6,7.9,8.7,32,200
6,3.5,9.1,10.9,26,251
6,3.5,10.1,11.8,24,271
4,2,8.5,9.3,30,214
6,3.5,8.9,10.6,27,244
6,3.5,9.3,11,26,253
4,2.5,8.5,8.8,32,202
6,3.5,9.5,11.1,25,255
4,2.5,7.2,8.3,34,191
4,2.5,7.4,8.6,33,198
4,1.8,6,7,40,161
4,1.8,6.6,7.8,36,179
8,5.6,12.8,15.6,18,359
8,5.6,14.3,17.3,16,398
4,1.6,5.8,6.6,43,152
4,1.6,6.5,7.7,37,177
6,4,11.9,14.2,20,327
6,4,11.9,13.7,21,315
6,3.4,8.3,10.1,28,232
6,3.4,8.6,10.7,26,246
6,3.4,8.5,10.3,27,237
6,3.4,8.6,10.7,26,246
6,3.4,8.7,10.5,27,242
6,3.4,9,11,26,253
6,3.8,8.9,10.8,26,248
6,3.8,8.9,11,26,253
6,3.8,9,11,26,253
6,3.8,9.1,11.2,25,258
6,3.4,8.3,10.1,28,232
6,3.4,8.6,10.7,26,246
6,3.8,8.7,10.6,27,244
6,3.8,8.6,10.8,26,248
6,3.8,8.7,10.7,26,246
6,3.8,8.8,10.9,26,251
6,3.8,11.5,14,20,322
6,3.8,9.6,11.9,24,274
6,3.8,9.6,11.9,24,274
6,3.8,9.6,11.9,24,274
6,3.8,9.6,11.9,24,274
6,2.7,7.4,9.2,31,212
6,2.7,7.9,9.9,29,228
6,3.4,7.9,9.8,29,225
6,3.4,8.6,10.4,27,239
6,3.6,10.2,12.4,23,290
6,3.6,10.9,13.6,21,313
6,3,8.1,10.2,28,277
8,4.8,11.5,14.4,20,338
8,4.8,10.7,13.2,21,310
6,3,9.9,10.9,26,251
8,4.8,11,13.9,20,326
8,4.8,11.9,15.2,19,358
6,2.7,7.4,9.2,31,212
6,2.7,7.9,9.9,29,228
6,3.4,7.9,9.8,29,225
6,3.4,8.6,10.4,27,239
6,3.6,8.4,10.9,26,251
6,3.6,8.7,11.1,25,255
6,3,8.8,11.3,25,260
6,3,8.9,11.5,25,264
8,4.8,9.7,12.7,22,292
6,3,8.8,11.3,25,260
8,4.8,9.7,12.8,22,294
8,4.8,9.8,12.9,22,297
8,5.7,12,14.8,19,340
8,5.7,10.9,13.6,21,313
8,5.7,12.7,15.4,18,354
8,5.7,11.5,14.1,20,324
6,3,8.8,10.6,27,286
6,3.6,10.1,12.6,22,290
6,3.6,14.5,17.8,16,285
6,3,8.4,10.2,28,275
6,3.6,9.5,11.9,24,274
6,3.6,13.6,16.8,17,269
6,3.6,9.3,11.3,25,260
6,3.6,9.1,11.4,25,262
6,3.6,12.7,15.9,18,254
12,6.6,12.3,16,18,368
12,6.6,12.3,16,18,368
12,6.7,12.8,17.1,17,393
12,6.7,12.8,17.1,17,393
12,6.7,12.7,17.1,17,393
12,6.7,12.7,17.1,17,393
12,6.6,11.8,15.6,18,359
4,2,7,8.4,34,193
4,2,7.8,9.5,30,218
4,1.3,5.7,6.2,46,143
4,2.5,7.5,9,31,207
4,2.5,7.6,9,31,207
4,2.4,8.6,9.9,29,228
4,2.4,8.6,9.9,29,228
4,1.8,7.1,8,35,184
4,1.8,7.1,7.9,36,182
3,1,5.7,6.4,44,147
3,1,5.7,6.4,44,147
10,8.4,13,16.9,17,389
10,8.4,13,16.9,17,389
4,2,7.1,8.5,33,196
4,2,7.9,9.6,29,221
4,2,8.6,9.5,30,218
4,2.5,7.4,8.6,33,198
4,2.5,8.3,9.7,29,223
4,2,6.6,7.8,36,179
4,2,7.1,8.5,33,196
4,2.5,9.5,11.2,25,258
4,2.5,10.4,12.5,23,288
4,2,6.6,7.8,36,179
4,2,7.1,8.5,33,196
4,2.5,9.5,11.2,25,258
4,2.5,10.4,12.5,23,288
4,2.5,7.3,8.6,33,198
4,2.5,8.2,9.9,29,228
6,3.6,9.5,11.6,24,267
4,2.5,7.8,9,31,207
4,2.5,8.5,9.8,29,225
6,3.6,9.7,11.7,24,269
6,3.6,11.1,13.1,22,301
4,2,7.2,8.5,33,196
4,2,8,9.2,31,212
4,2,7.2,7.7,37,177
6,4,11.1,12.9,22,297
6,4,11.1,12.9,22,297
6,3.5,7.6,9.6,29,221
4,2.5,6.6,8.2,34,189
6,3.5,7.8,9.6,29,221
4,2.5,5.9,5.7,50,131
4,2.5,6.2,6,47,138
4,1.8,6.5,7.7,37,177
4,1.8,6.3,7.3,39,168
4,1.8,5.9,7.1,40,163
4,1.8,6.3,7.4,38,170
4,1.8,5.6,6.8,42,156
4,1.8,5.9,6.9,41,159
4,1.8,7.5,8.5,33,196
4,1.8,7.3,8.2,34,189
6,4,11.2,12.9,22,297
6,4,12.1,13.9,20,320
4,2.7,8.6,10.3,27,237
6,3.5,9.4,11.2,25,258
6,3.5,9.7,11.5,25,264
6,3.5,8.6,8.3,34,191
6,3.5,8.6,8.2,34,189
4,1.8,4.9,4.8,59,110
4,1.5,4.9,4.7,60,108
4,1.8,5.8,5.5,51,126
4,2.5,7.6,8.9,32,205
4,2.5,8.1,9.4,30,216
4,2.5,8.2,9.5,30,218
8,5.7,13.9,16.7,17,384
6,3.5,9.4,11.3,25,260
6,3.5,10.3,12.4,23,285
4,2.7,9.3,10.9,26,251
4,2.7,8.9,10.2,28,235
6,4,11.3,13.1,22,301
4,2.7,10.5,11.9,24,274
4,2.7,10.6,11.8,24,271
6,4,11.5,13.3,21,306
6,4,12.3,14,20,322
6,4,11.8,13.5,21,310
8,4.6,12.3,14.3,20,329
8,5.7,12.9,15.5,18,356
8,4.6,12.8,15.1,19,347
8,5.7,13.9,16.2,17,373
4,2.7,8.2,10,28,230
6,3.5,9.1,11,26,253
4,2.7,8.5,10.2,28,235
6,3.5,9.4,11.3,25,260
4,1.5,6.6,7.3,39,168
4,1.5,6.3,7.1,40,163
4,1.8,7.2,8.5,33,196
4,1.8,7.2,8.7,32,200
4,2,7.7,9.1,31,209
4,2,7.6,9.4,30,216
5,2.5,8.4,9.8,29,225
5,2.5,7.7,9.6,29,221
4,2,5.9,7.4,38,200
4,2,6.1,7.7,37,208
4,1.8,7.3,8.7,32,200
4,2,8.1,9.3,30,214
4,2,7.6,9.4,30,216
5,2.5,8.7,10.1,28,232
4,2,7.9,9.7,29,223
4,2,7.7,9.8,29,225
6,3.6,9.8,12.3,23,283
4,2,8,9.6,29,221
5,2.5,7.7,9.5,30,218
5,2.5,7.3,9.4,30,216
4,2,6.4,7.4,38,198
4,2,6,7.3,39,196
4,1.8,6.7,8.2,34,189
4,1.8,6.7,8.2,34,189
4,2,8,9.4,30,216
4,2,7.2,9,31,207
4,2,6.4,7.4,38,198
4,2,6,7.3,39,196
4,2,7.5,9,31,207
4,2,7.4,9.2,31,212
4,1.4,5.2,5.4,52,124
4,1.8,6.9,8.6,33,198
4,1.8,6.9,8.6,33,198
5,2.5,8,9.7,29,223
5,2.5,7.8,9.8,29,225
6,3.6,8.8,10.8,26,248
4,2,5.9,6.9,41,180
6,3.6,9.5,12.1,23,278
4,2,9.5,10.7,26,246
4,2,9.2,11.6,24,267
4,2,9.4,10.7,26,246
6,3.6,10.4,12.6,22,296
6,3,8.1,10.2,28,277
5,2.5,7.8,9.7,29,223
5,2.5,8.3,10.1,28,232
6,3,9.5,11.5,25,264
6,3.2,8.1,10.2,28,235
6,3,9.5,11.5,25,264
6,3.2,8.9,11.2,25,258
6,3,9.8,11.8,24,271
6,3.2,9.5,11.5,25,264
6,3,9.8,11.8,24,271
6,3.2,9.3,11.3,25,260
6,3.2,10.2,12.8,22,294
4,2,6.7,8.3,34,191
4,2.4,7.4,9.3,30,214
4,1.5,6.1,6.1,46,140
6,3.5,9.1,11.1,25,255
6,3.5,8.7,10.6,27,244
6,3.5,7.7,10,28,230
6,3.5,7.5,7.7,37,177
4,2.4,6.6,8.3,34,191
6,3.5,6.9,9.2,31,212
6,3.5,7.5,9.6,29,221
4,1.8,6.9,8.4,34,193
12,5.9,12.6,15.6,18,359
12,6,10.9,14.2,20,327
8,4.7,11.3,14.7,19,338
8,4.7,12.3,15.5,18,356
8,4.7,11.3,14.7,19,338
8,4.7,12.3,15.5,18,356
12,6,12.8,16.5,17,379
8,4.7,11.3,14.7,19,338
8,4.7,12.3,15.5,18,356
12,6,11.4,14.8,19,340
4,1.8,7.1,8.7,32,200
4,2,5.5,6.5,43,177
4,2,7.2,8.6,33,198
4,2,7.5,8.9,32,205
4,2,7.6,8.9,32,205
4,2,7.8,9.6,29,221
4,2,7.3,9.1,31,209
4,2,8.4,9.9,28,228
4,2,7.8,9.6,29,221
4,2,7.3,9.1,31,209
4,2,8,9.8,29,225
4,2,8.1,10.3,27,237
6,3,8.6,10.9,26,251
6,3,6.2,8.1,35,217
6,3,8.5,11,26,253
6,3,6.2,8.1,35,217
6,3,8,10.5,27,242
8,4,8,10.7,26,246
6,3,6.5,8.4,34,224
6,3,8,10.5,27,242
8,4,8.3,11,26,258
12,6.3,10.8,14.6,19,344
6,3,6.5,8.4,34,224
4,2,8.2,10.3,27,237
4,2,8.4,10.3,27,237
4,2,8.5,10.4,27,239
6,3,9.2,11.4,25,262
6,3,7.8,9,31,244
4,2,7.9,8.9,32,205
6,3,11,13.3,21,306
6,3,8.7,10.7,26,290
8,4.2,10.4,14.2,20,327
8,4.2,11.7,16.6,17,382
10,5.2,10.6,14.8,19,347
10,5.2,12,16.4,17,377
8,4.2,10.4,14.2,20,327
8,4.2,11.7,16.6,17,382
10,5.2,10.6,14.8,19,347
10,5.2,12,16.4,17,377
8,4.2,10.1,12.8,22,294
8,4.2,10.6,12.9,22,297
8,4,9.4,13.3,21,313
4,2,7.7,9,31,207
6,3,8.5,11,26,253
6,3,9,11.7,24,269
6,3,8.5,11,26,253
6,3,9,11.7,24,269
6,3,9.1,11.4,25,262
8,4,8.7,11.7,24,269
8,4,8.7,11.7,24,269
8,4,8.8,11.9,24,281
6,3,9.9,12.2,23,281
4,2,7.6,9.1,31,209
4,2,7.7,9.2,31,212
4,2,8.4,10.2,28,235
4,2,8.5,10.2,28,235
8,4,9.4,13.1,22,307
12,6,11.2,15.4,18,354
8,4,10.3,14.4,20,337
12,6,11.7,16,18,368
8,4,10.1,14.2,20,327
8,4,10,14.2,20,334
12,6,11.9,16.5,17,388
8,6.8,13.3,18.2,16,419
4,2,7.1,8.9,32,205
4,2,6.5,8.4,34,193
4,2,6.9,9,31,207
4,2,7.2,9.1,31,209
4,2,6.7,8.7,32,200
4,2,6.5,8.4,34,193
4,2,6.9,9,31,207
4,2,6.7,8.7,32,200
4,2,5.5,6.7,42,181
4,2,5.5,6.7,42,181
4,2,6.5,8.4,34,193
4,2,6.9,9,31,207
4,2,7.2,9.1,31,209
4,2,7.2,9.1,31,209
4,2,7.2,9.1,31,209
6,3,7.4,9.6,29,221
6,3,7.8,9.8,29,225
6,3,7.8,10,28,230
6,3,8.3,10.3,27,237
6,3,7.8,10,28,230
4,2,7.1,8.9,32,205
4,2,6.5,8.4,34,193
4,2,6.9,9,31,207
4,2,7.1,8.9,32,205
4,2,6.8,9,31,207
4,2,7.5,9.6,29,221
4,2,7.2,9.1,31,209
4,2,7.2,9.1,31,209
6,3,7.6,9.9,29,228
6,3,7.4,9.6,29,221
6,3,7.8,9.8,29,225
6,3,7.4,9.6,29,221
6,3,8.1,10.3,27,237
6,3,7.8,10,28,230
6,3,8.3,10.3,27,237
6,3,7.8,10,28,230
4,2,7.1,8.9,32,205
4,2,7.2,9.1,31,209
6,3,6.3,7.9,36,213
6,3,8.1,10.3,27,237
6,3,8.9,11,26,253
8,4.4,9.7,12.3,23,283
8,4.4,9.8,12.8,22,294
6,3,8.1,10.3,27,237
6,3,8.1,10.3,27,237
8,4.4,9.8,12.8,22,294
8,4.4,9.7,12.3,23,283
8,4.4,9.8,12.8,22,294
6,3,7.1,8.8,32,238
6,3,8.1,10.3,27,237
8,4.4,9.8,12.8,22,294
8,4.4,9.8,12.8,22,294
12,6,11.6,15.5,18,356
6,3,7.5,8.7,32,200
6,3,7.9,9.4,30,216
6,3,7.7,9.3,30,214
8,4.4,9.8,12.8,22,294
8,4.4,9.8,12.8,22,294
8,4.4,9.8,12.8,22,294
6,3,8.1,10.2,28,235
6,3,9,10.8,26,248
6,3,8.1,10.2,28,235
6,3,8.5,10.4,27,239
6,3,7.8,10,28,230
6,3,9.6,12.1,23,278
6,3,9,11.6,24,267
6,3,9.7,12.1,23,278
6,3,9,11.8,24,271
6,3,9.7,12.1,23,278
6,3,9,11.6,24,267
8,4.4,11.5,14.7,19,338
8,4.4,10.8,13.7,21,315
8,4.4,11.5,14.7,19,338
8,4.4,10.8,13.7,21,315
8,4.4,11.5,14.7,19,338
8,4.4,10.8,13.7,21,315
8,4.4,11.5,14.7,19,338
8,4.4,10.8,13.7,21,315
4,2,7.2,9.1,31,209
6,3,8.9,11.2,25,258
4,2,6.9,7.9,36,213
4,2,8.4,9.9,29,228
6,3,8.8,10.9,26,251
4,2,8.4,10.2,28,235
6,3,8.8,10.9,26,251
8,4.4,12.1,14.6,19,336
6,3,7.2,8.7,32,235
6,3,8.9,11.1,25,255
8,4.4,10.9,13.8,20,317
8,4.4,12.1,14.6,19,336
6,3,8.9,11.1,25,255
8,4.4,10.9,13.8,20,317
4,2,7.1,9.1,31,209
4,2,6.9,9,31,207
6,3,10,12.1,23,278
6,3,9,11,26,253
6,3,10,12.1,23,278
6,3.6,9.9,12.3,23,283
6,3.6,10.2,12.6,22,290
4,1.4,7.2,8.5,33,196
4,1.4,8,9.2,31,212
6,3.6,8.6,11.4,25,262
6,3.6,12.4,15.8,18,253
6,3.6,9.1,11.7,24,269
6,3.6,12.6,15.9,18,254
4,2.4,6.5,8.2,34,189
4,2,7.9,9.8,29,225
4,2,7.6,9.8,29,225
4,2,8.7,10.7,26,246
4,2.4,6.5,8.2,34,189
4,2,7.9,9.8,29,225
4,2,7.6,9.8,29,225
4,2.4,7.4,9.4,30,216
4,2,7.9,9.7,29,223
4,2,7.9,10.3,27,237
4,2.5,7.2,9.3,30,214
6,3.6,8.4,10.8,26,248
4,2,8.5,10.2,28,235
6,3.6,8.9,11,26,253
4,2,7.9,9.9,29,228
6,3.6,8.2,10.7,26,246
4,2,8.5,10.6,27,244
6,3.6,8.9,11,26,253
6,3.6,9.9,12.7,22,292
8,6.2,11.4,14,20,322
8,6.2,11.1,13.8,20,317
8,6.2,11.7,14.5,19,334
8,6.2,11.7,14.3,20,329
6,3.6,9.8,12.3,23,283
6,3.6,10.4,12.8,22,294
6,3.6,8.6,11.3,25,260
6,3.6,8.9,11.6,24,267
6,3.6,9.9,12.6,22,290
6,3.6,8.8,11.3,25,260
6,3.6,8.4,11.5,25,265
8,6.2,9.8,12.8,22,294
8,6.2,9.9,12.7,22,292
6,3.6,7.9,10.5,27,242
8,6.2,12.3,15.5,18,357
8,6.2,13,16.8,17,386
8,6.2,12.4,14.7,19,338
4,2,9,9.4,30,216
4,2.5,8.8,10.5,27,242
4,2.5,9.1,10.8,26,248
6,3.6,9.2,11.3,25,260
4,2.5,9.5,11.3,25,260
6,3.6,9.8,11.8,24,271
8,6.2,8.1,11.7,24,269
8,6.2,8.2,11.2,25,258
8,6.2,10.2,14.3,20,329
8,6.2,10.6,13.4,21,308
4,1.4,6.3,7.8,36,179
4,1.4,6.2,7.8,36,179
4,1.8,6.8,8.8,32,202
4,1.8,6.6,8.1,35,186
4,2,5.1,7.1,40,192
4,1.4,6.1,7.7,37,177
4,1.4,5.6,7.1,40,163
4,2.4,7.3,9.1,31,209
4,2.4,7.3,9.1,31,209
4,2.4,10.8,13.4,21,214
6,3.6,9.5,12.1,23,278
4,2.4,8.2,10,28,230
4,2.4,8.2,10,28,230
4,2.4,11.6,14.2,20,227
6,3.6,9.9,12.6,22,290
8,4.8,14.2,18,16,414
8,6,14.9,18.8,15,432
8,6,14.9,18.8,15,432
8,6,20.5,25.9,11,414
8,4.8,14.3,18.1,16,416
8,6,15.1,19,15,437
8,6,15.1,19,15,437
8,6,20.6,26.1,11,418
4,2.5,7.5,9.2,31,212
6,3.6,8.2,10.6,27,244
6,3.6,11.5,14.5,19,232
4,2,7.9,9.8,29,225
4,2.5,6.4,8,35,184
6,4.3,9.9,11.9,24,274
6,4.3,14.3,17.1,17,274
8,5.3,10.3,12.7,22,292
8,5.3,13.8,17.2,16,275
8,6.2,11.4,14,20,322
6,4.3,10.6,12.5,23,288
6,4.3,15.2,18,16,288
8,5.3,10.7,13,22,299
8,5.3,14.3,17.5,16,280
8,6.2,11.6,14.2,20,327
4,1.4,6.8,8,35,184
4,1.4,6.2,7.5,38,173
4,1.8,6.7,8.3,34,191
4,1.8,6.8,8,35,184
4,1.4,7,8.3,34,191
4,1.4,6.9,8,35,184
4,1.4,6.8,8,35,184
4,1.4,6.2,7.5,38,173
4,1.8,6.7,8.3,34,191
4,1.8,6.8,8,35,184
4,1.4,7,8.3,34,191
4,1.4,6.9,8,35,184
4,1.2,6.1,7,40,161
4,1.2,6,6.8,42,156
8,5.3,10.1,12.7,22,292
8,5.3,13.6,17.2,16,275
8,5.3,10.8,13.3,21,306
8,5.3,15.4,19.1,15,306
8,5.3,10.1,12.7,22,292
8,5.3,13.6,17.2,16,275
8,5.3,10.4,13,22,299
8,5.3,14,17.6,16,282
6,3.6,9.9,12.3,23,283
6,3.6,10.2,12.6,22,290
4,1.4,7,8.2,34,189
4,1.4,6.9,8.1,35,186
4,1.4,7.6,8.7,32,200
4,2.4,6.4,8.5,33,196
4,2.4,6.4,8.5,33,196
4,2.4,8.5,11.3,25,181
6,3.6,7.5,10.2,28,235
6,3.6,7.5,10.2,28,235
6,3.6,10.1,13.6,21,218
6,3.6,8.1,10.7,26,246
6,3.6,8.1,10.7,26,246
6,3.6,10.8,14.1,20,226
6,3.6,7.7,10.3,27,237
6,3.6,7.7,10.3,27,237
6,3.6,10.3,13.9,20,222
8,5.7,9.3,12.3,23,283
6,3.6,8.6,10.9,26,251
6,3.6,8.6,10.9,26,251
6,3.6,11.7,14.8,19,237
6,3.6,9.5,12,24,276
6,3.6,13.3,16.8,17,269
6,3.6,7.8,10.3,27,237
8,5.7,10,13.1,22,301
8,6.4,10.4,13.9,20,320
8,5.7,9.3,12.3,23,283
8,6.4,9.5,12.9,22,297
8,6.4,10.4,13.9,20,320
8,6.4,9.5,12.9,22,297
8,6.2,10.7,14.7,19,338
8,6.2,11.4,15.1,19,347
6,3.6,8.9,11.5,25,264
6,3.6,8.9,11.5,25,264
6,3.6,12.4,15.9,18,254
6,3.6,7.7,10.3,27,237
6,3.6,7.7,10.3,27,237
6,3.6,10.3,13.9,20,222
8,5.7,9.6,12.9,22,297
8,5.7,9.3,12.3,23,283
6,3.6,8.6,10.9,26,251
6,3.6,8.6,10.9,26,251
6,3.6,11.7,14.8,19,237
8,5.7,10,13.4,21,308
8,6.4,9.5,12.9,22,297
8,6.2,10.7,14.7,19,338
4,2,6.5,8.1,35,186
4,2,7,8.6,33,198
4,2,9.3,11.5,25,184
4,2.4,6.8,8.6,33,198
4,2.4,6.7,8.8,32,202
4,2.4,7.5,9.2,31,212
4,2.4,7,8.8,32,202
4,1.4,5.9,7.3,39,168
4,1.4,5.8,7.3,39,168
6,3.6,9.8,12.1,23,278
6,3.6,13,15.6,18,250
8,5.7,11.5,14.7,19,338
6,3.6,9.4,11.8,24,271
6,3.6,13.1,16.4,17,262
4,2.4,9.1,11.1,25,255
6,3.6,9.4,12.1,23,278
6,3.6,12.9,16.2,17,259
6,3.6,9.9,12.4,23,285
10,8.4,11.3,15.8,18,363
4,1.4,6.9,7.9,36,182
4,1.4,6.3,7.2,39,166
4,1.4,6.9,7.9,36,182
4,1.4,5.9,6.8,42,156
4,1.4,7.3,8.6,33,198
4,1.4,6.9,7.8,36,179
4,1.4,7.3,8.6,33,198
4,1.4,6.9,7.8,36,179
4,1.4,7.3,8.6,33,198
4,1.4,6.9,7.8,36,179
4,1.4,7.8,9.4,30,216
4,1.4,7.2,8.7,32,200
4,1.4,7.1,8.3,34,191
4,2,6.4,6,47,138
4,2,7.8,9.8,29,225
4,2,7.9,9.8,29,225
6,3.5,9,11.3,25,260
4,2,8.4,10.3,27,237
6,3.5,9.6,11.8,24,271
6,2.7,9.8,11.9,24,274
4,1.6,7.4,9,31,207
4,2,8,9.6,29,221
4,2.5,7.6,9.5,30,218
4,1.6,8,9.4,30,216
4,2,8.4,10.1,28,232
6,3.5,11.8,14.2,20,327
6,3.5,12,14.4,20,331
4,2,8.5,10.4,27,239
6,3.5,9.7,11.9,24,274
6,3.5,13,16.1,18,258
6,3.5,10.7,13,22,299
6,3.5,10.3,12.5,23,288
6,3.5,14.1,16.9,17,270
6,2.7,9.2,10.8,26,248
6,3.5,9.9,12,24,276
6,3.5,9.6,11.5,25,264
6,3.5,13,15.7,18,251
8,5,10.6,13.3,21,306
8,5,14.3,17.9,16,286
6,2.7,10.4,12,24,276
6,3.5,10.4,12.5,23,288
6,3.5,10.5,12.4,23,285
6,3.5,14.2,16.8,17,269
8,5,11.3,13.9,20,320
8,5,15.1,18.7,15,299
4,1.6,6.4,7.6,37,175
4,1.6,6.5,7.6,37,175
3,1,5.5,6.6,43,152
4,1.6,6.2,7.4,38,170
4,1.6,6.8,8,35,184
6,3.5,9.5,11.6,24,267
6,3.5,10.1,12.1,23,278
6,3.5,10.4,12.8,22,294
3,1,5.9,7.1,40,163
4,2,7.3,8.9,32,205
4,2,6.2,7.7,37,177
4,2,8.5,10.4,27,166
4,2,6.3,7.8,36,179
4,2,8.6,10.6,27,170
4,2,6.7,8.1,35,186
4,2,9.1,10.9,26,174
4,1.5,6.5,8.4,34,193
4,1.5,6.3,8,35,184
4,2,7,8.9,32,205
4,2.5,7,8.9,32,205
4,2,7.5,9.3,30,214
4,2,5.8,5.5,51,126
4,2.3,7.4,9.4,30,216
4,2.3,7.5,9.2,31,212
6,3.7,8.5,10.7,26,246
6,3.7,8.3,11.2,25,258
8,5,9.5,12.4,23,285
8,5,9.3,12.5,23,288
4,2.3,7.9,9.9,29,228
8,5,10,13,22,299
6,3.5,12.5,14.7,19,338
6,3.7,12.6,14.8,19,340
6,3.7,16.7,19.7,14,315
4,2,7.4,9.1,31,209
6,3.5,9.5,11.9,24,274
6,3.5,8.2,10.4,27,239
6,3.5,11.3,14.7,19,235
6,3.5,9.1,11.3,25,260
6,3.5,12.6,16,18,256
4,1.6,7.9,9.4,30,216
4,2.5,8.2,9.9,29,228
4,2.5,8.4,10.2,28,235
4,2.5,8.5,10.4,27,239
6,3.6,9.9,12.3,23,283
6,3.6,10.2,12.6,22,290
4,2.5,8.8,10.5,27,242
4,2.5,9.1,10.8,26,248
6,3.6,9.2,11.3,25,260
4,2.5,9.5,11.3,25,260
6,3.6,9.8,11.8,24,271
8,4.8,14.2,18,16,414
8,6,14.9,18.8,15,432
8,6,14.9,18.8,15,432
8,6,20.5,25.9,11,414
8,4.8,14.3,18.1,16,416
8,6,15.1,19,15,437
8,6,15.1,19,15,437
8,6,20.6,26.1,11,418
6,4.3,9.9,11.9,24,274
6,4.3,14.3,17.1,17,274
8,5.3,10.3,12.7,22,292
8,5.3,13.8,17.2,16,275
8,6.2,11.4,14,20,322
6,4.3,10.6,12.5,23,288
6,4.3,15.2,18,16,288
8,5.3,10.7,13,22,299
8,5.3,14.3,17.5,16,280
8,6.2,11.6,14.2,20,327
4,2.4,7.3,9.1,31,209
4,2.4,7.3,9.1,31,209
4,2.4,10.8,13.4,21,214
6,3.6,9.5,12.1,23,278
4,2.4,8.2,10,28,230
6,3.6,9.9,12.6,22,290
8,5.3,10.1,12.7,22,292
8,5.3,13.6,17.2,16,275
8,5.3,10.4,13,22,299
8,5.3,14,17.6,16,282
8,6.2,11.4,14,20,322
8,6.2,11.1,13.8,20,317
8,5.3,10.1,12.7,22,292
8,5.3,13.6,17.2,16,275
8,5.3,10.8,13.3,21,306
8,5.3,15.4,19.1,15,306
8,6.2,11.7,14.5,19,334
8,6.2,11.7,14.3,20,329
4,2.4,6.5,7.8,36,179
4,2.4,6.7,8,35,184
4,2.4,6.9,8.7,32,200
6,3.5,6.8,9.1,31,209
6,3.5,7.3,9.5,30,219
6,3.5,8.4,10.9,26,251
4,2,5.3,5,56,115
4,1.8,6.1,7.1,40,163
4,1.8,6.2,7.2,39,166
4,1.8,6.6,7.7,37,177
4,2.4,7.6,9.4,30,216
4,1.5,5,5.2,54,120
4,2.4,6.9,7.8,36,179
4,2.4,7.2,8.3,34,191
4,1.5,6,6.3,45,145
4,1.5,6.1,6.9,41,159
4,1.5,5.7,6.4,44,147
4,1.5,6.1,6.8,42,156
4,1.5,6.4,7.3,39,168
6,3.5,8.5,10.6,27,244
6,3.5,9.3,11.5,25,264
6,3.5,9.7,12,24,276
4,1.6,6.3,7.7,37,177
4,1.6,6.3,7.6,37,175
4,1.8,6.3,7.5,38,172
4,1.8,6.4,7.7,37,177
4,2,6.7,8.3,34,191
4,2,7,8.5,33,196
4,2,6.8,8.3,34,191
4,2,6.7,8.3,34,191
4,2,7.2,8.6,33,198
4,2,6.9,8.5,33,196
8,5,10.2,13.3,21,306
6,3.8,9.4,12.1,23,278
8,5,10.5,14.2,20,327
6,3.8,9.6,12.3,23,283
6,3.8,9.9,12.4,23,285
6,3.3,9.4,11.3,25,260
6,3.3,9.7,11.5,25,264
4,2.4,8.7,10.3,27,237
4,2,9.8,11.5,25,264
4,2.4,9.3,11.1,25,255
6,3.3,10.8,12.5,23,287
4,2,7.4,9.1,31,209
4,2.4,6.7,8.4,34,193
4,2.4,6.7,8.4,34,193
4,2.4,5.9,6.3,45,145
4,2.4,5.9,6.3,45,145
4,2,8.2,9.3,30,214
4,2,8.5,10.1,28,232
4,2.4,8.3,10,28,230
4,2,9.3,10.4,27,239
4,2.4,9.3,10.6,27,244
4,1.6,6.6,7.7,37,177
4,1.6,6.7,8,35,184
4,1.6,7.6,8.8,32,202
4,1.6,7,8.5,33,196
6,3.7,8.1,10.3,27,237
6,3.7,8.7,10.8,26,248
6,3.5,6.7,7.5,38,172
6,3.5,7.5,8.2,34,189
6,3.7,8.7,10.7,26,246
6,3.7,9.3,11.6,24,267
6,3.7,9.4,11.5,25,264
6,3.7,9.3,11.7,24,269
6,3.7,9.8,12.3,23,283
6,3.7,8.9,11,26,253
8,5.6,9.5,12.4,23,285
6,3.7,9.6,11.6,24,267
